line,firstnum,lastnum,calibration
sixsrvldfour4seven,6,7,67
53hvhgchljnlxqjsgrhxgf1zfoureightmlhvvv,5,8,58
fives2dznl,5,2,52
twocrqvjsix5threethree,2,3,23
gtjtwonefourone6fouronefccmnpbpeightnine,2,9,29
seventdtrcseveneightsevencgjgjxfpmfsix8twones,7,1,71
fourthreeseven1grvhrjxklh3ninetwothree,4,3,43
fourninethrnnth8,4,8,48
two2hnxcfivejrdjxtb,2,5,25
bssbrgcx86vsmqstrxsjbjeightqzhbzxqg5,8,5,85
rsevenbqjfxh23rzdgcmdleightsixknpfs,7,6,76
jprxbcghdgxhk9x,9,9,99
8czzpmvgmlchnkf,8,,8
vdrtteight85hlkninehgnblqnsdnineeight,8,8,88
fivetwohlxdql43kfzzbhtncg,5,3,53
lmhtwoneghgtl2,2,2,22
drtfsfhtbgfourpfpcznzrsix33,4,3,43
pptqkrdbeighteightsixdlsixkrlhr2,8,2,82
57threetwo,5,2,52
qoneight367gqbpbtbffivetlhrdjgnml2d,1,2,12
ninevdnzxsxone3,9,3,93
3threeqzrmfndfiveeight4,3,4,34
rmthreethreefourtwotkpncxpmctkxjhzxg5,3,5,35
nsfrpl6lkqrrmlxhrxmngzjtzbpsjgeight,6,8,68
9twobfknine57sixfour7,9,7,97
7one83sixthreecllxjnphb,7,3,73
82nhxcjnck1,8,1,81
5zrffive,5,5,55
bgdzqqpninefourjhtcjfjmxrmqhgz7fxnjrjfivetlpbddcsfs,9,5,95
xmbgqfhxx1sevenkfnqztfourzbngv,1,4,14
6onethree,6,3,63
1przkgcft77xblxkxm,1,7,17
hnjslmc96,9,6,96
fourktlnine59,4,9,49
7twoxthree,7,3,73
9twofiveonetwo5bnl,9,5,95
6cbzmrg1three7,6,7,67
fbndztsthreefourthreefgj1eightrffdbpsn,3,8,38
4zpqnskhnqjbjlhbbsxsmk,4,,4
seventhree1fourbvnbbsbkl5,7,5,75
five42jkbzqcnblr,5,2,52
357,3,7,37
543cshpxrfnnhonetkbhxtmlgczdndqjscb,5,1,51
2mpftseven,2,7,27
44five8nineeight,4,8,48
rmgrljrljb8hxxfmdpbbvmblltxfive6mdsmm7mmpk,8,7,87
nprsix6,6,6,66
five4vkqrsixmjkjps,5,6,56
kfivebrlzvc1twoseveneight,5,8,58
lqnjsixtwo7fourbmbxnr9dqmpbbfkfive,6,5,65
1ccsvvrrvjseight9nzgnldhzndpvdzcncl,1,9,19
